GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Security JSF Taglib,org.joinfaces.security,AnonymousFaceletsTagHandler,0,19,0,2,0,7,0,3,0,2
Spring Security JSF Taglib,org.joinfaces.security,AnonymousFaceletsTag,0,6,0,0,0,3,0,1,0,1
Spring Security JSF Taglib,org.joinfaces.security,AuthenticatedFaceletsTag,0,6,0,0,0,3,0,1,0,1
Spring Security JSF Taglib,org.joinfaces.security,AuthorizeFaceletsTagHandler,0,82,0,6,0,18,0,5,0,2
Spring Security JSF Taglib,org.joinfaces.security,FaceletsTagUtils,0,67,0,0,0,21,0,8,0,8
Spring Security JSF Taglib,org.joinfaces.security,FullyAuthenticatedFaceletsTag,0,6,0,0,0,3,0,1,0,1
Spring Security JSF Taglib,org.joinfaces.security,AuthenticatedFaceletsTagHandler,0,19,0,2,0,7,0,3,0,2
Spring Security JSF Taglib,org.joinfaces.security,AbstractFaceletsAuthorizeTag,0,18,0,0,0,4,0,4,0,4
Spring Security JSF Taglib,org.joinfaces.security,FullyAuthenticatedFaceletsTagHandler,0,19,0,2,0,7,0,3,0,2
Spring Security JSF Taglib,org.joinfaces.security,AuthorizeFaceletsTag,0,261,0,26,0,49,0,21,0,8
